Episode,Reward
0,420.0
1,420.0
2,884.5
3,422.0
4,422.0
5,419.0
6,419.0
7,423.0
8,422.0
9,419.0
10,419.0
11,422.0
12,1345.0
13,419.0
14,422.0
15,419.0
16,422.0
17,884.5
18,419.0
19,422.0
20,420.0
21,1340.0
22,419.0
23,893.0
24,419.0
25,419.0
26,420.0
27,419.0
28,421.0
29,421.0
30,422.0
31,420.0
32,883.5
33,420.0
34,422.0
35,888.0
36,422.0
37,421.0
38,421.0
39,420.0
40,421.0
41,422.0
42,422.0
43,879.5
44,421.0
45,423.0
46,420.0
47,419.0
48,419.0
49,879.5
50,423.0
51,1340.0
52,419.0
53,421.0
54,421.0
55,878.5
56,423.0
57,1800.5
58,880.0
59,885.5
60,420.0
61,422.0
62,883.5
63,421.0
64,419.0
65,423.0
66,422.0
67,420.0
68,423.0
69,421.0
70,881.5
71,885.0
72,881.5
73,420.0
74,882.5
75,420.0
76,422.0
77,419.0
78,423.0
79,878.5
80,1802.0
81,420.0
82,423.0
83,419.0
84,422.0
85,421.0
86,423.0
87,419.0
88,419.0
89,421.0
90,421.0
91,420.0
92,882.5
93,422.0
94,422.0
95,878.5
96,880.5
97,423.0
98,878.5
99,422.0
100,422.0
101,881.0
102,419.0
103,889.5
104,420.0
105,882.5
106,422.0
107,421.0
108,878.5
109,421.0
110,419.0
111,884.5
112,419.0
113,421.0
114,878.5
115,422.0
116,419.0
117,422.0
118,894.0
119,422.0
120,419.0
121,420.0
122,422.0
123,422.0
124,422.0
125,422.0
126,420.0
127,422.0
128,880.5
129,881.5
130,420.0
131,422.0
132,421.0
133,419.0
134,878.5
135,421.0
136,419.0
137,419.0
138,421.0
139,422.0
140,892.5
141,884.0
142,419.0
143,421.0
144,419.0
145,887.5
146,419.0
147,424.0
148,419.0
149,419.0
150,419.0
151,422.0
152,422.0
153,2269.5
154,884.5
155,886.5
156,420.0
157,423.0
158,422.0
159,421.0
160,420.0
161,423.0
162,882.5
163,422.0
164,422.0
165,423.0
166,422.0
167,1803.5
168,423.0
169,419.0
170,419.0
171,422.0
172,884.0
173,886.0
174,423.0
175,421.0
176,885.0
177,421.0
178,419.0
179,419.0
180,419.0
181,422.0
182,419.0
183,421.0
184,423.0
185,423.0
186,423.0
187,420.0
188,423.0
189,420.0
190,423.0
191,420.0
192,882.5
193,422.0
194,2728.5
195,420.0
196,878.5
197,422.0
198,423.0
199,419.0
200,420.0
201,423.0
202,423.0
203,420.0
204,420.0
205,419.0
206,422.0
207,422.0
208,420.0
209,420.0
210,419.0
211,419.0
212,420.0
213,421.0
214,422.0
215,419.0
216,420.0
217,421.0
218,422.0
219,420.0
220,422.0
221,423.0
222,423.0
223,883.0
224,422.0
225,419.0
226,422.0
227,888.5
228,883.5
229,423.0
230,423.0
231,423.0
232,420.0
233,419.0
234,424.0
235,421.0
236,422.0
237,419.0
238,421.0
239,1808.5
240,422.0
241,881.5
242,885.5
243,420.0
244,419.0
245,419.0
246,423.0
247,419.0
248,420.0
249,2267.5
250,419.0
251,422.0
252,420.0
253,1350.0
254,422.0
255,421.0
256,420.0
257,1341.0
258,423.0
259,419.0
260,419.0
261,422.0
262,880.5
263,420.0
264,884.5
265,422.0
266,882.5
267,424.0
268,423.0
269,420.0
270,423.0
271,422.0
272,423.0
273,423.0
274,421.0
275,420.0
276,421.0
277,422.0
278,422.0
279,420.0
280,420.0
281,420.0
282,421.0
283,886.0
284,419.0
285,422.0
286,423.0
287,422.0
288,420.0
289,421.0
290,422.0
291,423.0
292,2277.5
293,422.0
294,1808.5
295,419.0
296,419.0
297,421.0
298,422.0
299,423.0
300,878.5
301,879.5
302,421.0
303,422.0
304,878.5
305,421.0
306,419.0
307,421.0
308,419.0
309,421.0
310,421.0
311,888.0
312,884.5
313,421.0
314,423.0
315,884.0
316,420.0
317,887.5
318,419.0
319,885.5
320,423.0
321,886.5
322,422.0
323,422.0
324,878.5
325,422.0
326,423.0
327,419.0
328,422.0
329,422.0
330,422.0
331,422.0
332,422.0
333,1344.0
334,419.0
335,423.0
336,875.5
337,422.0
338,420.0
339,879.5
340,419.0
341,423.0
342,881.5
343,420.0
344,887.5
345,419.0
346,884.5
347,419.0
348,422.0
349,421.0
350,421.0
351,883.5
352,421.0
353,419.0
354,420.0
355,421.0
356,2257.0
357,419.0
358,423.0
359,422.0
360,423.0
361,886.5
362,423.0
363,419.0
364,422.0
365,422.0
366,878.0
367,420.0
368,422.0
369,421.0
370,420.0
371,422.0
372,419.0
373,422.0
374,419.0
375,422.0
376,419.0
377,422.0
378,423.0
379,419.0
380,422.0
381,419.0
382,423.0
383,423.0
384,875.5
385,420.0
386,423.0
387,421.0
388,422.0
389,421.0
390,420.0
391,879.5
392,422.0
393,421.0
394,423.0
395,421.0
396,422.0
397,422.0
398,878.5
399,421.0
400,420.0
401,883.5
402,421.0
403,419.0
404,422.0
405,875.5
406,422.0
407,1337.5
408,423.0
409,419.0
410,422.0
411,892.0
412,423.0
413,422.0
414,422.0
415,886.5
416,419.0
417,1339.5
418,422.0
419,419.0
420,421.0
421,880.5
422,420.0
423,419.0
424,423.0
425,422.0
426,421.0
427,419.0
428,423.0
429,888.5
430,423.0
431,423.0
432,422.0
433,423.0
434,875.5
435,421.0
436,420.0
437,420.0
438,421.0
439,423.0
440,423.0
441,424.0
442,419.0
443,422.0
444,421.0
445,419.0
446,423.0
447,421.0
448,422.0
449,422.0
450,423.0
451,419.0
452,882.0
453,2260.0
454,422.0
455,422.0
456,419.0
457,422.0
458,422.0
459,419.0
460,421.0
461,419.0
462,881.5
463,420.0
464,1343.0
465,422.0
466,419.0
467,419.0
468,1338.0
469,421.0
470,421.0
471,419.0
472,883.0
473,419.0
474,422.0
475,422.0
476,419.0
477,886.5
478,419.0
479,882.5
480,882.0
481,423.0
482,422.0
483,422.0
484,420.0
485,420.0
486,423.0
487,882.5
488,422.0
489,419.0
490,422.0
491,421.0
492,419.0
493,880.5
494,421.0
495,886.5
496,422.0
497,419.0
498,422.0
499,422.0
500,421.0
501,883.5
502,419.0
503,419.0
504,420.0
505,421.0
506,422.0
507,421.0
508,419.0
509,422.0
510,885.5
511,421.0
512,422.0
513,423.0
514,888.0
515,421.0
516,421.0
517,423.0
518,422.0
519,883.5
520,422.0
521,422.0
522,882.5
523,423.0
524,883.5
525,419.0
526,422.0
527,423.0
528,423.0
529,420.0
530,1336.0
531,420.0
532,422.0
533,422.0
534,423.0
535,882.5
536,421.0
537,878.5
538,422.0
539,422.0
540,880.5
541,1352.0
542,887.5
543,419.0
544,420.0
545,419.0
546,421.0
547,423.0
548,421.0
549,422.0
550,420.0
551,422.0
552,896.0
553,875.5
554,880.5
555,420.0
556,885.5
557,423.0
558,420.0
559,422.0
560,420.0
561,419.0
562,419.0
563,879.5
564,422.0
565,419.0
566,423.0
567,422.0
568,882.0
569,885.5
570,421.0
571,423.0
572,419.0
573,419.0
574,421.0
575,1806.0
576,423.0
577,423.0
578,882.5
579,419.0
580,878.5
581,422.0
582,421.0
583,422.0
584,886.5
585,1343.5
586,420.0
587,884.5
588,423.0
589,422.0
590,1347.0
591,884.5
592,419.0
593,421.0
594,422.0
595,421.0
596,421.0
597,421.0
598,420.0
599,421.0
600,422.0
601,897.0
602,875.5
603,1808.0
604,1335.0
605,421.0
606,421.0
607,896.5
608,421.0
609,422.0
610,878.5
611,1341.0
612,420.0
613,889.5
614,879.5
615,423.0
616,2267.5
617,420.0
618,421.0
619,422.0
620,422.0
621,421.0
622,422.0
623,423.0
624,423.0
625,886.5
626,1812.0
627,420.0
628,420.0
629,419.0
630,884.5
631,422.0
632,422.0
633,884.5
634,878.5
635,419.0
636,882.5
637,884.5
638,1335.0
639,2275.0
640,421.0
641,420.0
642,422.0
643,894.0
644,879.5
645,881.5
646,419.0
647,419.0
648,423.0
649,421.0
650,421.0
651,421.0
652,423.0
653,887.0
654,1803.5
655,422.0
656,423.0
657,419.0
658,886.0
659,422.0
660,880.5
661,419.0
662,423.0
663,880.5
664,420.0
665,886.5
666,419.0
667,420.0
668,421.0
669,421.0
670,881.0
671,1347.0
672,419.0
673,421.0
674,421.0
675,423.0
676,422.0
677,423.0
678,422.0
679,882.5
680,880.5
681,881.5
682,878.5
683,1353.5
684,422.0
685,1793.5
686,421.0
687,419.0
688,422.0
689,420.0
690,883.5
691,422.0
692,886.5
693,422.0
694,1814.0
695,883.5
696,422.0
697,884.5
698,424.0
699,421.0
700,878.5
701,422.0
702,882.5
703,422.0
704,422.0
705,1819.0
706,882.5
707,878.5
708,420.0
709,421.0
710,423.0
711,421.0
712,423.0
713,423.0
714,423.0
715,419.0
716,1338.0
717,421.0
718,887.5
719,421.0
720,1347.0
721,421.0
722,423.0
723,420.0
724,420.0
725,421.0
726,422.0
727,422.0
728,421.0
729,419.0
730,420.0
731,421.0
732,421.0
733,422.0
734,420.0
735,423.0
736,423.0
737,884.5
738,422.0
739,420.0
740,421.0
741,421.0
742,1348.5
743,420.0
744,421.0
745,423.0
746,419.0
747,1339.0
748,420.0
749,878.5
750,422.0
751,422.0
752,884.5
753,419.0
754,419.0
755,421.0
756,422.0
757,419.0
758,423.0
759,1359.0
760,886.5
761,1353.0
762,421.0
763,419.0
764,420.0
765,421.0
766,423.0
767,423.0
768,881.5
769,419.0
770,419.0
771,423.0
772,886.5
773,884.0
774,879.5
775,422.0
776,421.0
777,2265.5
778,882.5
779,878.5
780,422.0
781,419.0
782,880.5
783,422.0
784,419.0
785,422.0
786,421.0
787,419.0
788,420.0
789,890.0
790,423.0
791,419.0
792,420.0
793,423.0
794,880.0
795,419.0
796,881.5
797,422.0
798,423.0
799,420.0
800,419.0
801,423.0
802,419.0
803,888.5
804,422.0
805,881.5
806,422.0
807,882.5
808,421.0
809,423.0
810,419.0
811,881.5
812,421.0
813,421.0
814,887.0
815,875.5
816,419.0
817,422.0
818,420.0
819,419.0
820,422.0
821,894.5
822,422.0
823,886.5
824,422.0
825,419.0
826,886.5
827,419.0
828,423.0
829,419.0
830,419.0
831,881.5
832,420.0
833,882.5
834,422.0
835,890.5
836,419.0
837,885.0
838,419.0
839,423.0
840,883.5
841,420.0
842,422.0
843,423.0
844,883.5
845,422.0
846,423.0
847,875.5
848,419.0
849,422.0
850,419.0
851,421.0
852,422.0
853,881.5
854,423.0
855,421.0
856,420.0
857,421.0
858,419.0
859,422.0
860,423.0
861,421.0
862,419.0
863,419.0
864,421.0
865,422.0
866,886.5
867,420.0
868,419.0
869,1343.0
870,419.0
871,890.0
872,422.0
873,420.0
874,422.0
875,422.0
876,420.0
877,422.0
878,420.0
879,421.0
880,419.0
881,886.5
882,420.0
883,884.5
884,420.0
885,884.5
886,419.0
887,885.5
888,422.0
889,419.0
890,424.0
891,1341.5
892,422.0
893,423.0
894,423.0
895,886.5
896,422.0
897,421.0
898,419.0
899,881.5
900,878.5
901,422.0
902,899.0
903,422.0
904,892.0
905,421.0
906,422.0
907,419.0
908,422.0
909,420.0
910,423.0
911,1347.5
912,882.5
913,423.0
914,879.5
915,885.5
916,422.0
917,419.0
918,421.0
919,882.5
920,423.0
921,878.5
922,422.0
923,1806.0
924,879.5
925,420.0
926,422.0
927,422.0
928,885.5
929,884.5
930,883.5
931,422.0
932,1345.0
933,419.0
934,880.5
935,1818.0
936,420.0
937,422.0
938,422.0
939,419.0
940,888.5
941,419.0
942,423.0
943,419.0
944,423.0
945,1349.0
946,1342.0
947,419.0
948,421.0
949,423.0
950,881.5
951,419.0
952,423.0
953,419.0
954,421.0
955,423.0
956,420.0
957,1805.5
958,879.5
959,881.5
960,891.0
961,421.0
962,889.0
963,421.0
964,423.0
965,421.0
966,886.5
967,420.0
968,422.0
969,421.0
970,419.0
971,421.0
972,1341.0
973,419.0
974,1341.0
975,419.0
976,422.0
977,883.5
978,419.0
979,422.0
980,421.0
981,422.0
982,421.0
983,420.0
984,886.5
985,422.0
986,419.0
987,893.0
988,419.0
989,421.0
990,884.5
991,422.0
992,421.0
993,422.0
994,419.0
995,883.5
996,424.0
997,421.0
998,421.0
999,421.0
1000,423.0
1001,886.0
1002,423.0
1003,422.0
1004,421.0
1005,881.5
1006,422.0
1007,422.0
1008,422.0
1009,1345.5
1010,422.0
1011,420.0
1012,888.0
1013,420.0
1014,878.5
1015,893.0
1016,420.0
1017,422.0
1018,420.0
1019,420.0
1020,886.5
1021,420.0
1022,422.0
1023,1350.0
1024,423.0
1025,419.0
1026,422.0
1027,419.0
1028,422.0
1029,423.0
1030,420.0
1031,419.0
1032,422.0
1033,1804.0
1034,422.0
1035,881.5
1036,419.0
1037,884.5
1038,883.5
1039,419.0
1040,422.0
1041,423.0
1042,422.0
1043,422.0
1044,422.0
1045,419.0
1046,884.5
1047,423.0
1048,894.0
1049,420.0
1050,883.5
1051,1814.5
1052,423.0
1053,422.0
1054,419.0
1055,419.0
1056,883.5
1057,420.0
1058,884.5
1059,422.0
1060,1347.0
1061,882.5
1062,422.0
1063,419.0
1064,423.0
1065,421.0
1066,883.5
1067,422.0
1068,1338.0
1069,422.0
1070,420.0
1071,421.0
1072,1815.5
1073,420.0
1074,888.5
1075,421.0
1076,885.5
1077,880.5
1078,419.0
1079,884.5
1080,1807.0
1081,881.5
1082,423.0
1083,421.0
1084,419.0
1085,423.0
1086,423.0
1087,421.0
1088,423.0
1089,423.0
1090,889.5
1091,894.0
1092,419.0
1093,421.0
1094,421.0
1095,422.0
1096,423.0
1097,422.0
1098,1796.5
1099,422.0
1100,420.0
1101,422.0
1102,878.5
1103,420.0
1104,424.0
1105,420.0
1106,421.0
1107,419.0
1108,421.0
1109,423.0
1110,423.0
1111,878.5
1112,1808.5
1113,881.5
1114,419.0
1115,421.0
1116,422.0
1117,419.0
1118,880.5
1119,877.0
1120,882.5
1121,881.5
1122,422.0
1123,422.0
1124,419.0
1125,422.0
1126,422.0
1127,421.0
1128,421.0
1129,422.0
1130,421.0
1131,419.0
1132,420.0
1133,421.0
1134,420.0
1135,420.0
1136,419.0
1137,881.5
1138,422.0
1139,423.0
1140,423.0
1141,419.0
1142,886.5
1143,422.0
1144,896.0
1145,423.0
1146,2262.5
1147,421.0
1148,421.0
1149,419.0
1150,419.0
1151,884.5
1152,882.5
1153,883.5
1154,422.0
1155,419.0
1156,419.0
1157,422.0
1158,419.0
1159,420.0
1160,422.0
1161,422.0
1162,422.0
1163,423.0
1164,881.5
1165,419.0
1166,422.0
1167,423.0
1168,422.0
1169,419.0
1170,886.5
1171,421.0
1172,881.0
1173,419.0
1174,883.5
1175,879.5
1176,878.5
1177,422.0
1178,421.0
1179,422.0
1180,421.0
1181,423.0
1182,424.0
1183,881.5
1184,421.0
1185,423.0
1186,881.5
1187,883.5
1188,419.0
1189,884.5
1190,885.0
1191,422.0
1192,1341.5
1193,882.5
1194,420.0
1195,419.0
1196,893.0
1197,419.0
1198,421.0
1199,419.0
1200,420.0
1201,421.0
1202,423.0
1203,420.0
1204,419.0
1205,420.0
1206,423.0
1207,421.0
1208,885.5
1209,422.0
1210,422.0
1211,420.0
1212,420.0
1213,1346.0
1214,422.0
1215,421.0
1216,422.0
1217,422.0
1218,420.0
1219,423.0
1220,892.0
1221,422.0
1222,886.5
1223,422.0
1224,421.0
1225,420.0
1226,422.0
1227,1354.5
1228,422.0
1229,1340.0
1230,881.0
1231,882.5
1232,420.0
1233,423.0
1234,422.0
1235,422.0
1236,419.0
1237,419.0
1238,419.0
1239,1344.0
1240,420.0
1241,879.5
1242,421.0
1243,420.0
1244,422.0
1245,423.0
1246,888.5
1247,422.0
1248,419.0
1249,420.0
1250,422.0
1251,420.0
1252,420.0
1253,884.0
1254,423.0
1255,419.0
1256,421.0
1257,883.5
1258,422.0
1259,1343.5
1260,419.0
1261,422.0
1262,422.0
1263,422.0
1264,420.0
1265,420.0
1266,423.0
1267,1344.5
1268,419.0
1269,422.0
1270,422.0
1271,423.0
1272,1340.0
1273,423.0
1274,419.0
1275,419.0
1276,423.0
1277,886.5
1278,882.5
1279,419.0
1280,422.0
1281,884.5
1282,882.5
1283,422.0
1284,420.0
1285,888.0
1286,880.5
1287,882.5
1288,422.0
1289,419.0
1290,423.0
1291,421.0
1292,422.0
1293,422.0
1294,420.0
1295,886.5
1296,1348.0
1297,1348.0
1298,423.0
1299,423.0
1300,890.0
1301,421.0
1302,422.0
1303,419.0
1304,420.0
1305,419.0
1306,421.0
1307,419.0
1308,419.0
1309,419.0
1310,421.0
1311,422.0
1312,419.0
1313,420.0
1314,885.5
1315,1346.0
1316,422.0
1317,879.5
1318,423.0
1319,422.0
1320,419.0
1321,419.0
1322,423.0
1323,421.0
1324,420.0
1325,419.0
1326,422.0
1327,419.0
1328,422.0
1329,882.5
1330,419.0
1331,422.0
1332,422.0
1333,884.5
1334,1345.0
1335,422.0
1336,423.0
1337,422.0
1338,421.0
1339,421.0
1340,419.0
1341,884.5
1342,879.5
1343,423.0
1344,422.0
1345,419.0
1346,422.0
1347,1350.5
1348,419.0
1349,419.0
1350,422.0
1351,422.0
1352,423.0
1353,422.0
1354,422.0
1355,419.0
1356,422.0
1357,419.0
1358,422.0
1359,421.0
1360,1809.0
1361,422.0
1362,419.0
1363,880.5
1364,423.0
1365,883.5
1366,1350.0
1367,890.0
1368,422.0
1369,421.0
1370,422.0
1371,423.0
1372,419.0
1373,422.0
1374,422.0
1375,419.0
1376,884.5
1377,421.0
1378,423.0
1379,419.0
1380,422.0
1381,886.5
1382,420.0
1383,420.0
1384,419.0
1385,422.0
1386,419.0
1387,422.0
1388,881.5
1389,420.0
1390,882.5
1391,422.0
1392,419.0
1393,419.0
1394,422.0
1395,422.0
1396,886.5
1397,419.0
1398,887.5
1399,422.0
1400,420.0
1401,421.0
1402,420.0
1403,419.0
1404,420.0
1405,422.0
1406,884.5
1407,422.0
1408,419.0
1409,421.0
1410,878.5
1411,1338.0
1412,885.5
1413,878.5
1414,422.0
1415,419.0
1416,1360.5
1417,420.0
1418,882.0
1419,879.0
1420,423.0
1421,419.0
1422,423.0
1423,421.0
1424,422.0
1425,882.0
1426,881.5
1427,884.0
1428,890.0
1429,422.0
1430,419.0
1431,420.0
1432,421.0
1433,888.0
1434,882.5
1435,422.0
1436,1348.5
1437,422.0
1438,419.0
1439,421.0
1440,1353.5
1441,421.0
1442,422.0
1443,1800.5
1444,421.0
1445,422.0
1446,422.0
1447,423.0
1448,419.0
1449,419.0
1450,420.0
1451,422.0
1452,419.0
1453,420.0
1454,421.0
1455,421.0
1456,423.0
1457,892.0
1458,420.0
1459,882.5
1460,419.0
1461,419.0
1462,422.0
1463,886.5
1464,1343.5
1465,423.0
1466,419.0
1467,422.0
1468,881.0
1469,422.0
1470,419.0
1471,888.0
1472,897.0
1473,419.0
1474,422.0
1475,422.0
1476,1332.0
1477,419.0
1478,423.0
1479,419.0
1480,423.0
1481,420.0
1482,423.0
1483,423.0
1484,419.0
1485,419.0
1486,419.0
1487,884.5
1488,422.0
1489,422.0
1490,423.0
1491,882.5
1492,886.5
1493,420.0
1494,419.0
1495,888.5
1496,420.0
1497,1810.5
1498,421.0
1499,884.5
1500,421.0
1501,885.5
1502,422.0
1503,421.0
1504,419.0
1505,422.0
1506,423.0
1507,894.0
1508,890.0
1509,423.0
1510,419.0
1511,422.0
1512,423.0
1513,422.0
1514,879.5
